Drug_id,Disease,Gene_name
LOFEXIDINE,Substance Use Disorders,ADRA2C
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA2C
NOREPINEPHRINE,Major Depressive Disorder,ADRA2C
EPINEPHRINE,Substance Use Disorders,ADRA2C
EPINEPHRINE,Major Depressive Disorder,ADRA2C
ORM-12741,Alzheimer’s Disease,ADRA2C
PHENYLEPHRINE,Post Traumatic Stress Disorder,ADRA1A
DOXAZOSIN,Post Traumatic Stress Disorder,ADRA1A
DOXAZOSIN,Substance Use Disorders,ADRA1A
CARVEDILOL,Post Traumatic Stress Disorder,ADRA1A
SERTINDOLE,Schizophrenia,ADRA1A
SERTINDOLE,Anxiety Disorder,ADRA1A
SERTINDOLE,Major Depressive Disorder,ADRA1A
TRIMIPRAMINE,Major Depressive Disorder,ADRA1A
TRIMIPRAMINE,Schizophrenia,ADRA1A
TRIMIPRAMINE,Anxiety Disorder,ADRA1A
PRAZOSIN,Anxiety Disorder,ADRA1A
PRAZOSIN,Substance Use Disorders,ADRA1A
PRAZOSIN,Post Traumatic Stress Disorder,ADRA1A
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA1A
NOREPINEPHRINE,Major Depressive Disorder,ADRA1A
EPINEPHRINE,Substance Use Disorders,ADRA1A
EPINEPHRINE,Major Depressive Disorder,ADRA1A
TEDATIOXETINE,Major Depressive Disorder,ADRA1A
PHENYLEPHRINE,Post Traumatic Stress Disorder,ADRA1D
DOXAZOSIN,Post Traumatic Stress Disorder,ADRA1D
DOXAZOSIN,Substance Use Disorders,ADRA1D
CARVEDILOL,Post Traumatic Stress Disorder,ADRA1D
SERTINDOLE,Schizophrenia,ADRA1D
SERTINDOLE,Anxiety Disorder,ADRA1D
SERTINDOLE,Major Depressive Disorder,ADRA1D
TRIMIPRAMINE,Major Depressive Disorder,ADRA1D
TRIMIPRAMINE,Schizophrenia,ADRA1D
TRIMIPRAMINE,Anxiety Disorder,ADRA1D
PRAZOSIN,Anxiety Disorder,ADRA1D
PRAZOSIN,Substance Use Disorders,ADRA1D
PRAZOSIN,Post Traumatic Stress Disorder,ADRA1D
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA1D
NOREPINEPHRINE,Major Depressive Disorder,ADRA1D
EPINEPHRINE,Substance Use Disorders,ADRA1D
EPINEPHRINE,Major Depressive Disorder,ADRA1D
PHENYLEPHRINE,Post Traumatic Stress Disorder,ADRA1B
DOXAZOSIN,Post Traumatic Stress Disorder,ADRA1B
DOXAZOSIN,Substance Use Disorders,ADRA1B
CARVEDILOL,Post Traumatic Stress Disorder,ADRA1B
SERTINDOLE,Schizophrenia,ADRA1B
SERTINDOLE,Anxiety Disorder,ADRA1B
SERTINDOLE,Major Depressive Disorder,ADRA1B
TRIMIPRAMINE,Major Depressive Disorder,ADRA1B
TRIMIPRAMINE,Schizophrenia,ADRA1B
TRIMIPRAMINE,Anxiety Disorder,ADRA1B
PRAZOSIN,Anxiety Disorder,ADRA1B
PRAZOSIN,Substance Use Disorders,ADRA1B
PRAZOSIN,Post Traumatic Stress Disorder,ADRA1B
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRA1B
NOREPINEPHRINE,Major Depressive Disorder,ADRA1B
EPINEPHRINE,Substance Use Disorders,ADRA1B
EPINEPHRINE,Major Depressive Disorder,ADRA1B
LITHIUM CARBONATE,Major Depressive Disorder,IMPA1
LITHIUM CARBONATE,Anxiety Disorder,IMPA1
LITHIUM CARBONATE,Substance Use Disorders,IMPA1
LITHIUM CARBONATE,Bipolar Disorder,IMPA1
LITHIUM CARBONATE,Schizophrenia,IMPA1
LITHIUM CARBONATE,Autism Spectrum Disorder,IMPA1
LITHIUM CARBONATE,Alzheimer’s Disease,IMPA1
LITHIUM CITRATE,Bipolar Disorder,IMPA1
LITHIUM CARBONATE,Major Depressive Disorder,GSK3A
LITHIUM CARBONATE,Anxiety Disorder,GSK3A
LITHIUM CARBONATE,Substance Use Disorders,GSK3A
LITHIUM CARBONATE,Bipolar Disorder,GSK3A
LITHIUM CARBONATE,Schizophrenia,GSK3A
LITHIUM CARBONATE,Autism Spectrum Disorder,GSK3A
LITHIUM CARBONATE,Alzheimer’s Disease,GSK3A
LITHIUM CITRATE,Bipolar Disorder,GSK3A
LITHIUM CARBONATE,Major Depressive Disorder,GSK3B
LITHIUM CARBONATE,Anxiety Disorder,GSK3B
LITHIUM CARBONATE,Substance Use Disorders,GSK3B
LITHIUM CARBONATE,Bipolar Disorder,GSK3B
LITHIUM CARBONATE,Schizophrenia,GSK3B
LITHIUM CARBONATE,Autism Spectrum Disorder,GSK3B
LITHIUM CARBONATE,Alzheimer’s Disease,GSK3B
LITHIUM CITRATE,Bipolar Disorder,GSK3B
TIDEGLUSIB,Autism Spectrum Disorder,GSK3B
TIDEGLUSIB,Alzheimer’s Disease,GSK3B
NAPROXEN,Alzheimer’s Disease,PTGS2
ACETAMINOPHEN,Anxiety Disorder,PTGS2
DICLOFENAC,Major Depressive Disorder,PTGS2
LORNOXICAM,Alzheimer’s Disease,PTGS2
ASPIRIN,Major Depressive Disorder,PTGS2
ASPIRIN,Schizophrenia,PTGS2
ASPIRIN,Bipolar Disorder,PTGS2
INDOMETHACIN,Alzheimer’s Disease,PTGS2
IBUPROFEN,Alzheimer’s Disease,PTGS2
IBUPROFEN,Major Depressive Disorder,PTGS2
CIMICOXIB,Major Depressive Disorder,PTGS2
CELECOXIB,Schizophrenia,PTGS2
CELECOXIB,Alzheimer’s Disease,PTGS2
CELECOXIB,Bipolar Disorder,PTGS2
CELECOXIB,Major Depressive Disorder,PTGS2
CELECOXIB,OCD & Tourette Syndrome,PTGS2
ROFECOXIB,Alzheimer’s Disease,PTGS2
NAPROXEN,Alzheimer’s Disease,PTGS1
ACETAMINOPHEN,Anxiety Disorder,PTGS1
DICLOFENAC,Major Depressive Disorder,PTGS1
LORNOXICAM,Alzheimer’s Disease,PTGS1
ASPIRIN,Major Depressive Disorder,PTGS1
ASPIRIN,Schizophrenia,PTGS1
ASPIRIN,Bipolar Disorder,PTGS1
INDOMETHACIN,Alzheimer’s Disease,PTGS1
IBUPROFEN,Alzheimer’s Disease,PTGS1
IBUPROFEN,Major Depressive Disorder,PTGS1
SUVOREXANT,Alzheimer’s Disease,HCRTR2
SUVOREXANT,Substance Use Disorders,HCRTR2
FILOREXANT,Major Depressive Disorder,HCRTR2
SELTOREXANT,Major Depressive Disorder,HCRTR2
SELTOREXANT,Alzheimer’s Disease,HCRTR2
LEMBOREXANT,Substance Use Disorders,HCRTR2
SUVOREXANT,Alzheimer’s Disease,HCRTR1
SUVOREXANT,Substance Use Disorders,HCRTR1
FILOREXANT,Major Depressive Disorder,HCRTR1
LEMBOREXANT,Substance Use Disorders,HCRTR1
METHOTREXATE,Schizophrenia,DHFR
PITOLISANT,Schizophrenia,HRH3
PITOLISANT,Substance Use Disorders,HRH3
ABT-288,Schizophrenia,HRH3
ABT-288,Alzheimer’s Disease,HRH3
BETAHISTINE,Major Depressive Disorder,HRH3
BETAHISTINE,Attention Deficit Hyperactivity Disorder,HRH3
GSK239512,Alzheimer’s Disease,HRH3
GSK239512,Schizophrenia,HRH3
BAVISANT,Attention Deficit Hyperactivity Disorder,HRH3
BAVISANT,Substance Use Disorders,HRH3
PF-03654746,Attention Deficit Hyperactivity Disorder,HRH3
PF-03654746,Alzheimer’s Disease,HRH3
PF-03654746,OCD & Tourette Syndrome,HRH3
PF-03654746,Schizophrenia,HRH3
MK-0249,Attention Deficit Hyperactivity Disorder,HRH3
MK-0249,Alzheimer’s Disease,HRH3
MK-0249,Schizophrenia,HRH3
CARVEDILOL,Post Traumatic Stress Disorder,ADRB1
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRB1
NOREPINEPHRINE,Major Depressive Disorder,ADRB1
EPINEPHRINE,Substance Use Disorders,ADRB1
EPINEPHRINE,Major Depressive Disorder,ADRB1
PROPAFENONE,Substance Use Disorders,ADRB1
SOTALOL,Substance Use Disorders,ADRB1
PINDOLOL,Major Depressive Disorder,ADRB1
PROPRANOLOL,Major Depressive Disorder,ADRB1
PROPRANOLOL,Substance Use Disorders,ADRB1
PROPRANOLOL,Post Traumatic Stress Disorder,ADRB1
PROPRANOLOL,Autism Spectrum Disorder,ADRB1
PROPRANOLOL,Anxiety Disorder,ADRB1
ATENOLOL,Post Traumatic Stress Disorder,ADRB1
METOPROLOL,Substance Use Disorders,ADRB1
DOPAMINE,Major Depressive Disorder,ADRB1
CARVEDILOL,Post Traumatic Stress Disorder,ADRB2
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRB2
NOREPINEPHRINE,Major Depressive Disorder,ADRB2
EPINEPHRINE,Substance Use Disorders,ADRB2
EPINEPHRINE,Major Depressive Disorder,ADRB2
PROPAFENONE,Substance Use Disorders,ADRB2
SOTALOL,Substance Use Disorders,ADRB2
PINDOLOL,Major Depressive Disorder,ADRB2
FORMOTEROL,Alzheimer’s Disease,ADRB2
ALBUTEROL,Major Depressive Disorder,ADRB2
PROPRANOLOL,Major Depressive Disorder,ADRB2
PROPRANOLOL,Substance Use Disorders,ADRB2
PROPRANOLOL,Post Traumatic Stress Disorder,ADRB2
PROPRANOLOL,Autism Spectrum Disorder,ADRB2
PROPRANOLOL,Anxiety Disorder,ADRB2
CARVEDILOL,Post Traumatic Stress Disorder,ADRB3
DROXIDOPA,Attention Deficit Hyperactivity Disorder,ADRB3
NOREPINEPHRINE,Major Depressive Disorder,ADRB3
EPINEPHRINE,Substance Use Disorders,ADRB3
EPINEPHRINE,Major Depressive Disorder,ADRB3
AMIBEGRON,Anxiety Disorder,ADRB3
AMIBEGRON,Major Depressive Disorder,ADRB3
ACETAMINOPHEN,Anxiety Disorder,TRPV1
ACETAMINOPHEN,Anxiety Disorder,FAAH
JNJ-42165279,Autism Spectrum Disorder,FAAH
PF-04457845,OCD & Tourette Syndrome,FAAH
PF-04457845,Post Traumatic Stress Disorder,FAAH
DESVENLAFAXINE,Major Depressive Disorder,SLC6A4
GSK163090,Major Depressive Disorder,SLC6A4
VORTIOXETINE,Eating Disorders,SLC6A4
VORTIOXETINE,Attention Deficit Hyperactivity Disorder,SLC6A4
VORTIOXETINE,Major Depressive Disorder,SLC6A4
VORTIOXETINE,Anxiety Disorder,SLC6A4
VORTIOXETINE,Bipolar Disorder,SLC6A4
ESCITALOPRAM,Anxiety Disorder,SLC6A4
ESCITALOPRAM,Major Depressive Disorder,SLC6A4
ESCITALOPRAM,Alzheimer’s Disease,SLC6A4
ESCITALOPRAM,Bipolar Disorder,SLC6A4
ESCITALOPRAM,Schizophrenia,SLC6A4
ESCITALOPRAM,OCD & Tourette Syndrome,SLC6A4
ESCITALOPRAM,Post Traumatic Stress Disorder,SLC6A4
CITALOPRAM,Schizophrenia,SLC6A4
CITALOPRAM,Autism Spectrum Disorder,SLC6A4
CITALOPRAM,Substance Use Disorders,SLC6A4
CITALOPRAM,Major Depressive Disorder,SLC6A4
CITALOPRAM,OCD & Tourette Syndrome,SLC6A4
CITALOPRAM,Bipolar Disorder,SLC6A4
CITALOPRAM,Anxiety Disorder,SLC6A4
PROTRIPTYLINE,Major Depressive Disorder,SLC6A4
NEFAZODONE,Major Depressive Disorder,SLC6A4
AMOXAPINE,Major Depressive Disorder,SLC6A4
DOTHIEPIN,Major Depressive Disorder,SLC6A4
NORTRIPTYLINE,Major Depressive Disorder,SLC6A4
NORTRIPTYLINE,Schizophrenia,SLC6A4
NORTRIPTYLINE,Anxiety Disorder,SLC6A4
VILAZODONE,Major Depressive Disorder,SLC6A4
VILAZODONE,Anxiety Disorder,SLC6A4
VILAZODONE,Post Traumatic Stress Disorder,SLC6A4
VENLAFAXINE,Major Depressive Disorder,SLC6A4
VENLAFAXINE,Schizophrenia,SLC6A4
VENLAFAXINE,Anxiety Disorder,SLC6A4
VENLAFAXINE,Bipolar Disorder,SLC6A4
VENLAFAXINE,Alzheimer’s Disease,SLC6A4
VENLAFAXINE,OCD & Tourette Syndrome,SLC6A4
LEVOMILNACIPRAN,Major Depressive Disorder,SLC6A4
CLOMIPRAMINE,Major Depressive Disorder,SLC6A4
CLOMIPRAMINE,OCD & Tourette Syndrome,SLC6A4
CLOMIPRAMINE,Schizophrenia,SLC6A4
CLOMIPRAMINE,Anxiety Disorder,SLC6A4
MILNACIPRAN,Major Depressive Disorder,SLC6A4
TEDATIOXETINE,Major Depressive Disorder,SLC6A4
DULOXETINE,Attention Deficit Hyperactivity Disorder,SLC6A4
DULOXETINE,Anxiety Disorder,SLC6A4
DULOXETINE,Substance Use Disorders,SLC6A4
DULOXETINE,Schizophrenia,SLC6A4
DULOXETINE,Major Depressive Disorder,SLC6A4
DULOXETINE,Post Traumatic Stress Disorder,SLC6A4
SERTRALINE,Major Depressive Disorder,SLC6A4
SERTRALINE,Post Traumatic Stress Disorder,SLC6A4
SERTRALINE,Anxiety Disorder,SLC6A4
SERTRALINE,Substance Use Disorders,SLC6A4
SERTRALINE,Bipolar Disorder,SLC6A4
SERTRALINE,Autism Spectrum Disorder,SLC6A4
SERTRALINE,OCD & Tourette Syndrome,SLC6A4
SERTRALINE,Schizophrenia,SLC6A4
PAROXETINE,Major Depressive Disorder,SLC6A4
PAROXETINE,OCD & Tourette Syndrome,SLC6A4
PAROXETINE,Anxiety Disorder,SLC6A4
PAROXETINE,Post Traumatic Stress Disorder,SLC6A4
PAROXETINE,Substance Use Disorders,SLC6A4
PAROXETINE,Schizophrenia,SLC6A4
PAROXETINE,Bipolar Disorder,SLC6A4
IMIPRAMINE,Anxiety Disorder,SLC6A4
IMIPRAMINE,Major Depressive Disorder,SLC6A4
IMIPRAMINE,Substance Use Disorders,SLC6A4
IMIPRAMINE,Schizophrenia,SLC6A4
PAROXETINE HYDROCHLORIDE HEMIHYDRATE,Anxiety Disorder,SLC6A4
LUMATEPERONE,Major Depressive Disorder,SLC6A4
LUMATEPERONE,Bipolar Disorder,SLC6A4
LUMATEPERONE,Alzheimer’s Disease,SLC6A4
LUMATEPERONE,Schizophrenia,SLC6A4
FLUOXETINE,OCD & Tourette Syndrome,SLC6A4
FLUOXETINE,Major Depressive Disorder,SLC6A4
FLUOXETINE,Anxiety Disorder,SLC6A4
FLUOXETINE,Bipolar Disorder,SLC6A4
FLUOXETINE,Autism Spectrum Disorder,SLC6A4
FLUOXETINE,Schizophrenia,SLC6A4
FLUOXETINE,Post Traumatic Stress Disorder,SLC6A4
AMITRIPTYLINE,Major Depressive Disorder,SLC6A4
AMITRIPTYLINE,Schizophrenia,SLC6A4
AMITRIPTYLINE,Anxiety Disorder,SLC6A4
TRAZODONE,Alzheimer’s Disease,SLC6A4
TRAZODONE,Schizophrenia,SLC6A4
TRAZODONE,Substance Use Disorders,SLC6A4
TRAZODONE,Major Depressive Disorder,SLC6A4
TRAZODONE,Anxiety Disorder,SLC6A4
FLUVOXAMINE,Anxiety Disorder,SLC6A4
FLUVOXAMINE,Autism Spectrum Disorder,SLC6A4
FLUVOXAMINE,Major Depressive Disorder,SLC6A4
FLUVOXAMINE,Schizophrenia,SLC6A4
FLUVOXAMINE,OCD & Tourette Syndrome,SLC6A4
AMITIFADINE,Major Depressive Disorder,SLC6A4
NS-2359,Attention Deficit Hyperactivity Disorder,SLC6A4
NS-2359,Major Depressive Disorder,SLC6A4
DASOTRALINE,Major Depressive Disorder,SLC6A4
DASOTRALINE,Eating Disorders,SLC6A4
DASOTRALINE,Attention Deficit Hyperactivity Disorder,SLC6A4
CENTANAFADINE,Attention Deficit Hyperactivity Disorder,SLC6A4
CENTANAFADINE,Eating Disorders,SLC6A4
NOMIFENSINE,Major Depressive Disorder,SLC6A4
MAZINDOL,Attention Deficit Hyperactivity Disorder,SLC6A4
TESOFENSINE,Alzheimer’s Disease,SLC6A4
METHAMPHETAMINE,Attention Deficit Hyperactivity Disorder,SLC6A4
LIAFENSINE,Major Depressive Disorder,SLC6A4
DESVENLAFAXINE,Major Depressive Disorder,SLC6A2
DEXMETHYLPHENIDATE,Attention Deficit Hyperactivity Disorder,SLC6A2
DOXEPIN,Major Depressive Disorder,SLC6A2
DOXEPIN,Substance Use Disorders,SLC6A2
DOXEPIN,Bipolar Disorder,SLC6A2
DOXEPIN,Schizophrenia,SLC6A2
DOXEPIN,Anxiety Disorder,SLC6A2
ATOMOXETINE,Alzheimer’s Disease,SLC6A2
ATOMOXETINE,Autism Spectrum Disorder,SLC6A2
ATOMOXETINE,Attention Deficit Hyperactivity Disorder,SLC6A2
ATOMOXETINE,Schizophrenia,SLC6A2
ATOMOXETINE,Substance Use Disorders,SLC6A2
ATOMOXETINE,Anxiety Disorder,SLC6A2
ATOMOXETINE,OCD & Tourette Syndrome,SLC6A2
METHYLPHENIDATE,Anxiety Disorder,SLC6A2
METHYLPHENIDATE,Bipolar Disorder,SLC6A2
METHYLPHENIDATE,Major Depressive Disorder,SLC6A2
METHYLPHENIDATE,Attention Deficit Hyperactivity Disorder,SLC6A2
METHYLPHENIDATE,Alzheimer’s Disease,SLC6A2
METHYLPHENIDATE,Substance Use Disorders,SLC6A2
METHYLPHENIDATE,Schizophrenia,SLC6A2
METHYLPHENIDATE,Post Traumatic Stress Disorder,SLC6A2
METHYLPHENIDATE,Eating Disorders,SLC6A2
TRIMIPRAMINE,Major Depressive Disorder,SLC6A2
TRIMIPRAMINE,Schizophrenia,SLC6A2
TRIMIPRAMINE,Anxiety Disorder,SLC6A2
PROTRIPTYLINE,Major Depressive Disorder,SLC6A2
LISDEXAMFETAMINE,Attention Deficit Hyperactivity Disorder,SLC6A2
LISDEXAMFETAMINE,Major Depressive Disorder,SLC6A2
LISDEXAMFETAMINE,Bipolar Disorder,SLC6A2
LISDEXAMFETAMINE,Schizophrenia,SLC6A2
LISDEXAMFETAMINE,Eating Disorders,SLC6A2
MAPROTILINE,Anxiety Disorder,SLC6A2
MAPROTILINE,Major Depressive Disorder,SLC6A2
MAPROTILINE,Schizophrenia,SLC6A2
NEFAZODONE,Major Depressive Disorder,SLC6A2
AMOXAPINE,Major Depressive Disorder,SLC6A2
DOTHIEPIN,Major Depressive Disorder,SLC6A2
NORTRIPTYLINE,Major Depressive Disorder,SLC6A2
NORTRIPTYLINE,Schizophrenia,SLC6A2
NORTRIPTYLINE,Anxiety Disorder,SLC6A2
VENLAFAXINE,Major Depressive Disorder,SLC6A2
VENLAFAXINE,Schizophrenia,SLC6A2
VENLAFAXINE,Anxiety Disorder,SLC6A2
VENLAFAXINE,Bipolar Disorder,SLC6A2
VENLAFAXINE,Alzheimer’s Disease,SLC6A2
VENLAFAXINE,OCD & Tourette Syndrome,SLC6A2
DEXTROAMPHETAMINE,Bipolar Disorder,SLC6A2
DEXTROAMPHETAMINE,Substance Use Disorders,SLC6A2
DEXTROAMPHETAMINE,Attention Deficit Hyperactivity Disorder,SLC6A2
DEXTROAMPHETAMINE,Schizophrenia,SLC6A2
LEVOMILNACIPRAN,Major Depressive Disorder,SLC6A2
MILNACIPRAN,Major Depressive Disorder,SLC6A2
TEDATIOXETINE,Major Depressive Disorder,SLC6A2
BUPROPION,Bipolar Disorder,SLC6A2
BUPROPION,Substance Use Disorders,SLC6A2
BUPROPION,Major Depressive Disorder,SLC6A2
BUPROPION,Schizophrenia,SLC6A2
BUPROPION,Alzheimer’s Disease,SLC6A2
BUPROPION,Attention Deficit Hyperactivity Disorder,SLC6A2
BUPROPION,Eating Disorders,SLC6A2
BUPROPION,Anxiety Disorder,SLC6A2
DULOXETINE,Attention Deficit Hyperactivity Disorder,SLC6A2
DULOXETINE,Anxiety Disorder,SLC6A2
DULOXETINE,Substance Use Disorders,SLC6A2
DULOXETINE,Schizophrenia,SLC6A2
DULOXETINE,Major Depressive Disorder,SLC6A2
DULOXETINE,Post Traumatic Stress Disorder,SLC6A2
AMPHETAMINE,Attention Deficit Hyperactivity Disorder,SLC6A2
DIBENZEPIN,Major Depressive Disorder,SLC6A2
DESIPRAMINE,Major Depressive Disorder,SLC6A2
DESIPRAMINE,Post Traumatic Stress Disorder,SLC6A2
DESIPRAMINE,Substance Use Disorders,SLC6A2
REBOXETINE,Post Traumatic Stress Disorder,SLC6A2
REBOXETINE,Anxiety Disorder,SLC6A2
REBOXETINE,Major Depressive Disorder,SLC6A2
REBOXETINE,Schizophrenia,SLC6A2
REBOXETINE,Attention Deficit Hyperactivity Disorder,SLC6A2
IMIPRAMINE,Anxiety Disorder,SLC6A2
IMIPRAMINE,Major Depressive Disorder,SLC6A2
IMIPRAMINE,Substance Use Disorders,SLC6A2
IMIPRAMINE,Schizophrenia,SLC6A2
VILOXAZINE,Attention Deficit Hyperactivity Disorder,SLC6A2
VILOXAZINE,Major Depressive Disorder,SLC6A2
AMPRELOXETINE,Attention Deficit Hyperactivity Disorder,SLC6A2
SERDEXMETHYLPHENIDATE,Attention Deficit Hyperactivity Disorder,SLC6A2
AMITRIPTYLINE,Major Depressive Disorder,SLC6A2
AMITRIPTYLINE,Schizophrenia,SLC6A2
AMITRIPTYLINE,Anxiety Disorder,SLC6A2
EDIVOXETINE,Major Depressive Disorder,SLC6A2
EDIVOXETINE,Attention Deficit Hyperactivity Disorder,SLC6A2
AMITIFADINE,Major Depressive Disorder,SLC6A2
NS-2359,Attention Deficit Hyperactivity Disorder,SLC6A2
NS-2359,Major Depressive Disorder,SLC6A2
DASOTRALINE,Major Depressive Disorder,SLC6A2
DASOTRALINE,Eating Disorders,SLC6A2
DASOTRALINE,Attention Deficit Hyperactivity Disorder,SLC6A2
CENTANAFADINE,Attention Deficit Hyperactivity Disorder,SLC6A2
CENTANAFADINE,Eating Disorders,SLC6A2
NOMIFENSINE,Major Depressive Disorder,SLC6A2
MAZINDOL,Attention Deficit Hyperactivity Disorder,SLC6A2
TESOFENSINE,Alzheimer’s Disease,SLC6A2
METHAMPHETAMINE,Attention Deficit Hyperactivity Disorder,SLC6A2
LIAFENSINE,Major Depressive Disorder,SLC6A2
PREDNISOLONE,Schizophrenia,NR3C1
MIFEPRISTONE,Major Depressive Disorder,NR3C1
MIFEPRISTONE,Anxiety Disorder,NR3C1
MIFEPRISTONE,Bipolar Disorder,NR3C1
MIFEPRISTONE,Alzheimer’s Disease,NR3C1
MIFEPRISTONE,Substance Use Disorders,NR3C1
MIFEPRISTONE,Post Traumatic Stress Disorder,NR3C1
DEXAMETHASONE,Substance Use Disorders,NR3C1
ORG-34517,Major Depressive Disorder,NR3C1
ORG-34517,Substance Use Disorders,NR3C1
HYDROCORTISONE ACETATE,Major Depressive Disorder,NR3C1
HYDROCORTISONE,Substance Use Disorders,NR3C1
METHYLPREDNISOLONE,Substance Use Disorders,NR3C1
PREDNISONE,Alzheimer’s Disease,NR3C1
MINAPRINE,Major Depressive Disorder,HTR2B
AMISULPRIDE,Bipolar Disorder,HTR2B
AMISULPRIDE,Major Depressive Disorder,HTR2B
AMISULPRIDE,Anxiety Disorder,HTR2B
AMISULPRIDE,OCD & Tourette Syndrome,HTR2B
AMISULPRIDE,Schizophrenia,HTR2B
ZIMELDINE,Major Depressive Disorder,HTR2B
VABICASERIN,Schizophrenia,HTR2B
MINAPRINE,Major Depressive Disorder,HTR2A
BREXPIPRAZOLE,Major Depressive Disorder,HTR2A
BREXPIPRAZOLE,Post Traumatic Stress Disorder,HTR2A
BREXPIPRAZOLE,Bipolar Disorder,HTR2A
BREXPIPRAZOLE,Schizophrenia,HTR2A
BREXPIPRAZOLE,Alzheimer’s Disease,HTR2A
BREXPIPRAZOLE,Substance Use Disorders,HTR2A
TRIMIPRAMINE,Major Depressive Disorder,HTR2A
TRIMIPRAMINE,Schizophrenia,HTR2A
TRIMIPRAMINE,Anxiety Disorder,HTR2A
BLONANSERIN,Schizophrenia,HTR2A
CHLORPROMAZINE,Schizophrenia,HTR2A
NEFAZODONE,Major Depressive Disorder,HTR2A
OLANZAPINE,Major Depressive Disorder,HTR2A
OLANZAPINE,Schizophrenia,HTR2A
OLANZAPINE,Eating Disorders,HTR2A
OLANZAPINE,Anxiety Disorder,HTR2A
OLANZAPINE,Bipolar Disorder,HTR2A
OLANZAPINE,Substance Use Disorders,HTR2A
OLANZAPINE,Autism Spectrum Disorder,HTR2A
LOXAPINE,Schizophrenia,HTR2A
LOXAPINE,Bipolar Disorder,HTR2A
LOXAPINE,Anxiety Disorder,HTR2A
ASENAPINE,Schizophrenia,HTR2A
ASENAPINE,Bipolar Disorder,HTR2A
THIOTHIXENE,Schizophrenia,HTR2A
CLOZAPINE,Anxiety Disorder,HTR2A
CLOZAPINE,Schizophrenia,HTR2A
CLOZAPINE,Bipolar Disorder,HTR2A
CLOZAPINE,Major Depressive Disorder,HTR2A
TEDATIOXETINE,Major Depressive Disorder,HTR2A
CHLORPROTHIXENE,Schizophrenia,HTR2A
CHLORPROTHIXENE,Major Depressive Disorder,HTR2A
CHLORPROTHIXENE,Anxiety Disorder,HTR2A
