Drug_id,Disease,Gene_name
DB00137,Eating Disorders,MMP9
DB00295,Substance Use Disorders,MMP9
DB00472,Bipolar Disorder,MMP9
DB00654,Substance Use Disorders,MMP9
DB00668,Eating Disorders,MMP9
DB00755,Eating Disorders,MMP9
DB01065,Anxiety Disorder,MMP9
DB01708,Eating Disorders,MMP9
DB05289,Alzheimer’s Disease,MMP9
DB08838,Anxiety Disorder,MMP9
DB00120,Major Depressive Disorder,FOXP3
DB00199,Eating Disorders,FOXP3
DB00755,Eating Disorders,FOXP3
DB01708,Eating Disorders,FOXP3
DB00120,Major Depressive Disorder,MYL2
DB00122,Eating Disorders,SUV39H1
DB00122,Eating Disorders,GCG
DB00125,Eating Disorders,GCG
DB00130,Eating Disorders,GCG
DB00132,Eating Disorders,GCG
DB00142,Schizophrenia,GCG
DB00154,Eating Disorders,GCG
DB00171,Eating Disorders,GCG
DB00222,Substance Use Disorders,GCG
DB00502,Attention Deficit Hyperactivity Disorder,GCG
DB00668,Eating Disorders,GCG
DB01065,Anxiety Disorder,GCG
DB01356,Bipolar Disorder,GCG
DB05232,Substance Use Disorders,GCG
DB00122,Eating Disorders,CLEC2B
DB00122,Eating Disorders,TNF
DB00125,Eating Disorders,TNF
DB00295,Substance Use Disorders,TNF
DB00472,Bipolar Disorder,TNF
DB00668,Eating Disorders,TNF
DB01151,Attention Deficit Hyperactivity Disorder,TNF
DB01221,Major Depressive Disorder,TNF
DB00122,Eating Disorders,ETNK1
DB00122,Eating Disorders,REN
DB00201,Major Depressive Disorder,REN
DB00234,Major Depressive Disorder,REN
DB00575,Attention Deficit Hyperactivity Disorder,REN
DB00668,Eating Disorders,REN
DB00831,Anxiety Disorder,REN
DB01018,Attention Deficit Hyperactivity Disorder,REN
DB01183,Major Depressive Disorder,REN
DB01580,Anxiety Disorder,REN
DB05232,Substance Use Disorders,REN
DB00122,Eating Disorders,BDNF
DB00137,Eating Disorders,BDNF
DB00171,Eating Disorders,BDNF
DB00215,Anxiety Disorder,BDNF
DB00234,Major Depressive Disorder,BDNF
DB00289,Attention Deficit Hyperactivity Disorder,BDNF
DB00295,Substance Use Disorders,BDNF
DB00313,Bipolar Disorder,BDNF
DB00321,Major Depressive Disorder,BDNF
DB00334,Bipolar Disorder,BDNF
DB00363,Schizophrenia,BDNF
DB00458,Attention Deficit Hyperactivity Disorder,BDNF
DB00472,Bipolar Disorder,BDNF
DB00476,Anxiety Disorder,BDNF
DB00540,Major Depressive Disorder,BDNF
DB00633,Bipolar Disorder,BDNF
DB00715,Anxiety Disorder,BDNF
DB00780,Anxiety Disorder,BDNF
DB01037,Alzheimer’s Disease,BDNF
DB01043,Alzheimer’s Disease,BDNF
DB01104,Anxiety Disorder,BDNF
DB01151,Attention Deficit Hyperactivity Disorder,BDNF
DB01175,Anxiety Disorder,BDNF
DB01221,Major Depressive Disorder,BDNF
DB01356,Bipolar Disorder,BDNF
DB01708,Eating Disorders,BDNF
DB05232,Substance Use Disorders,BDNF
DB06594,Major Depressive Disorder,BDNF
DB08815,Bipolar Disorder,BDNF
DB00122,Eating Disorders,BHMT
DB00122,Eating Disorders,CHKA
DB00122,Eating Disorders,CHRNA7
DB01043,Alzheimer’s Disease,CHRNA7
DB01454,Anxiety Disorder,CHRNA7
DB00122,Eating Disorders,GRIN2A
DB01043,Alzheimer’s Disease,GRIN2A
DB01221,Major Depressive Disorder,GRIN2A
DB00122,Eating Disorders,CHKB
DB00125,Eating Disorders,ILK
DB00125,Eating Disorders,PCNA
DB00166,Eating Disorders,PCNA
DB01356,Bipolar Disorder,PCNA
DB00125,Eating Disorders,NAGS
DB00125,Eating Disorders,NOS3
DB00155,Eating Disorders,NOS3
DB00166,Eating Disorders,NOS3
DB00171,Eating Disorders,NOS3
DB00201,Major Depressive Disorder,NOS3
DB00222,Substance Use Disorders,NOS3
DB01110,Eating Disorders,NOS3
DB01708,Eating Disorders,NOS3
DB05232,Substance Use Disorders,NOS3
DB08838,Anxiety Disorder,NOS3
DB00125,Eating Disorders,SLC6A3
DB00201,Major Depressive Disorder,SLC6A3
DB00215,Anxiety Disorder,SLC6A3
DB00285,Anxiety Disorder,SLC6A3
DB00422,Attention Deficit Hyperactivity Disorder,SLC6A3
DB00476,Anxiety Disorder,SLC6A3
DB00726,Anxiety Disorder,SLC6A3
DB01104,Anxiety Disorder,SLC6A3
DB01149,Major Depressive Disorder,SLC6A3
DB01156,Attention Deficit Hyperactivity Disorder,SLC6A3
DB01175,Anxiety Disorder,SLC6A3
DB01255,Attention Deficit Hyperactivity Disorder,SLC6A3
DB01454,Anxiety Disorder,SLC6A3
DB01463,Major Depressive Disorder,SLC6A3
DB01577,Attention Deficit Hyperactivity Disorder,SLC6A3
DB01593,Eating Disorders,SLC6A3
DB06701,Attention Deficit Hyperactivity Disorder,SLC6A3
DB00125,Eating Disorders,IL6
DB00127,Eating Disorders,IL6
DB00166,Eating Disorders,IL6
DB00171,Eating Disorders,IL6
DB00215,Anxiety Disorder,IL6
DB00285,Anxiety Disorder,IL6
DB00633,Bipolar Disorder,IL6
DB00668,Eating Disorders,IL6
DB00755,Eating Disorders,IL6
DB00989,Alzheimer’s Disease,IL6
DB01065,Anxiety Disorder,IL6
DB01175,Anxiety Disorder,IL6
DB01708,Eating Disorders,IL6
DB00125,Eating Disorders,JUN
DB00295,Substance Use Disorders,JUN
DB00575,Attention Deficit Hyperactivity Disorder,JUN
DB00755,Eating Disorders,JUN
DB01065,Anxiety Disorder,JUN
DB01356,Bipolar Disorder,JUN
DB01454,Anxiety Disorder,JUN
DB01577,Attention Deficit Hyperactivity Disorder,JUN
DB01593,Eating Disorders,JUN
DB00125,Eating Disorders,SST
DB00215,Anxiety Disorder,SST
DB00295,Substance Use Disorders,SST
DB00564,Bipolar Disorder,SST
DB01175,Anxiety Disorder,SST
DB00125,Eating Disorders,AKT1
DB00166,Eating Disorders,AKT1
DB00171,Eating Disorders,AKT1
DB00222,Substance Use Disorders,AKT1
DB00295,Substance Use Disorders,AKT1
DB00334,Bipolar Disorder,AKT1
DB00363,Schizophrenia,AKT1
DB00502,Attention Deficit Hyperactivity Disorder,AKT1
DB00633,Bipolar Disorder,AKT1
DB00755,Eating Disorders,AKT1
DB01065,Anxiety Disorder,AKT1
DB01104,Anxiety Disorder,AKT1
DB01356,Bipolar Disorder,AKT1
DB01593,Eating Disorders,AKT1
DB01708,Eating Disorders,AKT1
DB08838,Anxiety Disorder,AKT1
DB00125,Eating Disorders,GPRC6A
DB00129,Eating Disorders,GPRC6A
DB00130,Eating Disorders,GPRC6A
DB00155,Eating Disorders,GPRC6A
DB00127,Eating Disorders,NOS2
DB00704,Substance Use Disorders,NOS2
DB01110,Eating Disorders,NOS2
DB00127,Eating Disorders,ODC1
DB00131,Eating Disorders,ODC1
DB00174,Eating Disorders,ODC1
DB00755,Eating Disorders,ODC1
DB00127,Eating Disorders,PIP5K1A
DB00127,Eating Disorders,MAPK8
DB00171,Eating Disorders,MAPK8
DB00755,Eating Disorders,MAPK8
DB01065,Anxiety Disorder,MAPK8
DB01075,Eating Disorders,MAPK8
DB01156,Attention Deficit Hyperactivity Disorder,MAPK8
DB00127,Eating Disorders,GJA5
DB00127,Eating Disorders,CASR
DB00127,Eating Disorders,IL1B
DB00171,Eating Disorders,IL1B
DB00408,Schizophrenia,IL1B
DB00502,Attention Deficit Hyperactivity Disorder,IL1B
DB00127,Eating Disorders,HMGN1
DB00127,Eating Disorders,KCNJ2
DB00127,Eating Disorders,KRT3
DB00129,Eating Disorders,AASS
DB00142,Schizophrenia,AASS
DB00129,Eating Disorders,ARG1
DB00129,Eating Disorders,AUH
DB00129,Eating Disorders,PYCR1
DB00755,Eating Disorders,PYCR1
DB00130,Eating Disorders,ATXN2
DB00130,Eating Disorders,AR
DB00755,Eating Disorders,AR
DB00130,Eating Disorders,CTPS1
DB00130,Eating Disorders,IFT57
DB00131,Eating Disorders,CREB1
DB00201,Major Depressive Disorder,CREB1
DB00458,Attention Deficit Hyperactivity Disorder,CREB1
DB00472,Bipolar Disorder,CREB1
DB00755,Eating Disorders,CREB1
DB01593,Eating Disorders,CREB1
DB00131,Eating Disorders,F3
DB00143,Eating Disorders,F3
DB00182,Attention Deficit Hyperactivity Disorder,F3
DB01454,Anxiety Disorder,F3
DB01576,Attention Deficit Hyperactivity Disorder,F3
DB01592,Eating Disorders,F3
DB00131,Eating Disorders,GFPT1
DB00131,Eating Disorders,PRKAA1
DB00171,Eating Disorders,PRKAA1
DB00131,Eating Disorders,PRKAA2
DB00171,Eating Disorders,PRKAA2
DB00131,Eating Disorders,PRKAG1
DB00171,Eating Disorders,PRKAG1
DB00131,Eating Disorders,PRKAG2
DB00171,Eating Disorders,PRKAG2
DB00131,Eating Disorders,FBP1
DB00131,Eating Disorders,PRKAB2
DB00131,Eating Disorders,PRKAB1
DB00171,Eating Disorders,PRKAB1
DB00131,Eating Disorders,PPAT
DB00131,Eating Disorders,PRKAG3
DB00171,Eating Disorders,PRKAG3
DB00131,Eating Disorders,PYGL
DB00132,Eating Disorders,APOA2
DB00132,Eating Disorders,CPT1A
DB00132,Eating Disorders,TNFRSF21
DB00132,Eating Disorders,CYP4A11
DB00132,Eating Disorders,G0S2
DB00132,Eating Disorders,FADS1
DB00132,Eating Disorders,TIAM2
DB00132,Eating Disorders,HMGCS2
DB00132,Eating Disorders,SCARB1
DB00755,Eating Disorders,SCARB1
DB00132,Eating Disorders,TRIB3
DB00132,Eating Disorders,ABCB4
DB00132,Eating Disorders,APOA1
DB00132,Eating Disorders,NPAS2
DB00132,Eating Disorders,CD36
DB00755,Eating Disorders,CD36
DB00132,Eating Disorders,CTGF
DB00755,Eating Disorders,CTGF
DB00132,Eating Disorders,HMGCR
DB00363,Schizophrenia,HMGCR
DB00502,Attention Deficit Hyperactivity Disorder,HMGCR
DB00132,Eating Disorders,CPT2
DB00132,Eating Disorders,TXNRD1
DB00132,Eating Disorders,ANGPTL4
DB00132,Eating Disorders,NRF1
DB00132,Eating Disorders,ACADM
DB00132,Eating Disorders,FHL2
DB00132,Eating Disorders,AGT
DB00132,Eating Disorders,SULT2A1
DB01075,Eating Disorders,SULT2A1
DB00132,Eating Disorders,FABP1
DB00132,Eating Disorders,SP1
DB00755,Eating Disorders,SP1
DB01593,Eating Disorders,SP1
DB00132,Eating Disorders,CYP2C19
DB00176,Major Depressive Disorder,CYP2C19
DB00215,Anxiety Disorder,CYP2C19
DB00313,Bipolar Disorder,CYP2C19
DB00472,Bipolar Disorder,CYP2C19
DB00477,Attention Deficit Hyperactivity Disorder,CYP2C19
DB00679,Anxiety Disorder,CYP2C19
DB01110,Eating Disorders,CYP2C19
DB01151,Attention Deficit Hyperactivity Disorder,CYP2C19
DB01171,Bipolar Disorder,CYP2C19
DB01175,Anxiety Disorder,CYP2C19
DB00132,Eating Disorders,ABCA1
DB00155,Eating Disorders,ABCA1
DB00755,Eating Disorders,ABCA1
DB00132,Eating Disorders,SLC27A1
DB00132,Eating Disorders,UGT1A9
DB00313,Bipolar Disorder,UGT1A9
DB00132,Eating Disorders,GLIPR1
DB00132,Eating Disorders,ACSL1
DB00132,Eating Disorders,FDFT1
DB00132,Eating Disorders,APOA5
DB00132,Eating Disorders,SREBF2
DB00215,Anxiety Disorder,SREBF2
DB00321,Major Depressive Disorder,SREBF2
DB00334,Bipolar Disorder,SREBF2
DB00363,Schizophrenia,SREBF2
DB00458,Attention Deficit Hyperactivity Disorder,SREBF2
DB00477,Attention Deficit Hyperactivity Disorder,SREBF2
DB00502,Attention Deficit Hyperactivity Disorder,SREBF2
DB01175,Anxiety Disorder,SREBF2
DB01242,Autism Spectrum Disorder,SREBF2
DB00132,Eating Disorders,NFYA
DB00132,Eating Disorders,NFYC
DB00132,Eating Disorders,FFAR4
DB00132,Eating Disorders,CYP1A2
DB00176,Major Depressive Disorder,CYP1A2
DB00201,Major Depressive Disorder,CYP1A2
DB00564,Bipolar Disorder,CYP1A2
DB00755,Eating Disorders,CYP1A2
DB01065,Anxiety Disorder,CYP1A2
DB01454,Anxiety Disorder,CYP1A2
DB00132,Eating Disorders,ANKRD1
DB00132,Eating Disorders,CYP3A4
DB00199,Eating Disorders,CYP3A4
DB00201,Major Depressive Disorder,CYP3A4
DB00313,Bipolar Disorder,CYP3A4
DB00477,Attention Deficit Hyperactivity Disorder,CYP3A4
DB00564,Bipolar Disorder,CYP3A4
DB00679,Anxiety Disorder,CYP3A4
DB00755,Eating Disorders,CYP3A4
DB00780,Anxiety Disorder,CYP3A4
DB00921,Substance Use Disorders,CYP3A4
DB01110,Eating Disorders,CYP3A4
DB01149,Major Depressive Disorder,CYP3A4
DB01151,Attention Deficit Hyperactivity Disorder,CYP3A4
DB01454,Anxiety Disorder,CYP3A4
DB01708,Eating Disorders,CYP3A4
DB00132,Eating Disorders,PEX11A
DB00132,Eating Disorders,PPARGC1B
DB00132,Eating Disorders,CYP2C9
DB00176,Major Depressive Disorder,CYP2C9
DB00477,Attention Deficit Hyperactivity Disorder,CYP2C9
DB00564,Bipolar Disorder,CYP2C9
DB00679,Anxiety Disorder,CYP2C9
DB00755,Eating Disorders,CYP2C9
DB01110,Eating Disorders,CYP2C9
DB01151,Attention Deficit Hyperactivity Disorder,CYP2C9
DB00132,Eating Disorders,HMGCS1
DB00132,Eating Disorders,NFYB
DB00132,Eating Disorders,CYP1A1
DB00176,Major Depressive Disorder,CYP1A1
DB00201,Major Depressive Disorder,CYP1A1
DB00564,Bipolar Disorder,CYP1A1
DB01065,Anxiety Disorder,CYP1A1
DB01708,Eating Disorders,CYP1A1
DB00132,Eating Disorders,ALAS1
DB00132,Eating Disorders,RGL1
DB00132,Eating Disorders,PPARA
DB00137,Eating Disorders,PPARA
DB01065,Anxiety Disorder,PPARA
DB01708,Eating Disorders,PPARA
DB05289,Alzheimer’s Disease,PPARA
DB00132,Eating Disorders,GRHL1
DB00132,Eating Disorders,GCLC
DB00143,Eating Disorders,GCLC
DB00132,Eating Disorders,ME1
DB00132,Eating Disorders,PPARG
DB00755,Eating Disorders,PPARG
DB01050,Alzheimer’s Disease,PPARG
DB00132,Eating Disorders,CYP7A1
DB00755,Eating Disorders,CYP7A1
DB01050,Alzheimer’s Disease,CYP7A1
DB00132,Eating Disorders,PLIN2
DB00132,Eating Disorders,CRP
DB00132,Eating Disorders,APOB
DB00755,Eating Disorders,APOB
DB00137,Eating Disorders,UCP1
DB00171,Eating Disorders,UCP1
DB00755,Eating Disorders,UCP1
DB00137,Eating Disorders,MMP1
DB00654,Substance Use Disorders,MMP1
DB01708,Eating Disorders,MMP1
DB00137,Eating Disorders,SYP
DB00831,Anxiety Disorder,SYP
DB00137,Eating Disorders,TRPA1
DB00139,Eating Disorders,SUCNR1
DB00139,Eating Disorders,CALM2
DB00295,Substance Use Disorders,CALM2
DB00363,Schizophrenia,CALM2
DB00502,Attention Deficit Hyperactivity Disorder,CALM2
DB00734,Alzheimer’s Disease,CALM2
DB00829,Anxiety Disorder,CALM2
DB00831,Anxiety Disorder,CALM2
DB01100,OCD & Tourette Syndrome,CALM2
DB00139,Eating Disorders,ALDH5A1
DB00313,Bipolar Disorder,ALDH5A1
DB01593,Eating Disorders,ALDH5A1
DB00139,Eating Disorders,GDF15
DB00139,Eating Disorders,CALM1
DB00295,Substance Use Disorders,CALM1
DB00363,Schizophrenia,CALM1
DB00502,Attention Deficit Hyperactivity Disorder,CALM1
DB00734,Alzheimer’s Disease,CALM1
DB00829,Anxiety Disorder,CALM1
DB00831,Anxiety Disorder,CALM1
DB01100,OCD & Tourette Syndrome,CALM1
DB00139,Eating Disorders,TGFB1
DB00755,Eating Disorders,TGFB1
DB01050,Alzheimer’s Disease,TGFB1
DB01592,Eating Disorders,TGFB1
DB00139,Eating Disorders,YME1L1
DB00139,Eating Disorders,MT-CYB
DB00142,Schizophrenia,CASP3
DB00171,Eating Disorders,CASP3
DB00176,Major Depressive Disorder,CASP3
DB00201,Major Depressive Disorder,CASP3
DB00215,Anxiety Disorder,CASP3
DB00295,Substance Use Disorders,CASP3
DB00313,Bipolar Disorder,CASP3
DB00363,Schizophrenia,CASP3
DB00458,Attention Deficit Hyperactivity Disorder,CASP3
DB00472,Bipolar Disorder,CASP3
DB00540,Major Depressive Disorder,CASP3
DB00575,Attention Deficit Hyperactivity Disorder,CASP3
DB00633,Bipolar Disorder,CASP3
DB00668,Eating Disorders,CASP3
DB00679,Anxiety Disorder,CASP3
DB00715,Anxiety Disorder,CASP3
DB00734,Alzheimer’s Disease,CASP3
DB00755,Eating Disorders,CASP3
DB00811,Eating Disorders,CASP3
DB00843,Alzheimer’s Disease,CASP3
DB01065,Anxiety Disorder,CASP3
DB01104,Anxiety Disorder,CASP3
DB01149,Major Depressive Disorder,CASP3
DB01151,Attention Deficit Hyperactivity Disorder,CASP3
DB01156,Attention Deficit Hyperactivity Disorder,CASP3
DB01175,Anxiety Disorder,CASP3
DB01221,Major Depressive Disorder,CASP3
DB01242,Autism Spectrum Disorder,CASP3
DB01593,Eating Disorders,CASP3
DB00142,Schizophrenia,GRM3
DB00142,Schizophrenia,GRM5
DB00182,Attention Deficit Hyperactivity Disorder,GRM5
DB00295,Substance Use Disorders,GRM5
DB00659,Substance Use Disorders,GRM5
DB01576,Attention Deficit Hyperactivity Disorder,GRM5
DB00142,Schizophrenia,GRM8
DB00142,Schizophrenia,GRM7
DB00142,Schizophrenia,AVP
DB00295,Substance Use Disorders,AVP
DB01183,Major Depressive Disorder,AVP
DB08838,Anxiety Disorder,AVP
DB00142,Schizophrenia,LPL
DB00142,Schizophrenia,SLC1A3
DB00321,Major Depressive Disorder,SLC1A3
DB00142,Schizophrenia,GRM6
DB00142,Schizophrenia,IL10
DB00166,Eating Disorders,IL10
DB00755,Eating Disorders,IL10
DB00811,Eating Disorders,IL10
DB01065,Anxiety Disorder,IL10
DB01183,Major Depressive Disorder,IL10
DB01454,Anxiety Disorder,IL10
DB00142,Schizophrenia,RHOA
DB00142,Schizophrenia,GRM2
DB00143,Eating Disorders,SOD1
DB00668,Eating Disorders,SOD1
DB01577,Attention Deficit Hyperactivity Disorder,SOD1
DB00143,Eating Disorders,GAPDH
DB00171,Eating Disorders,GAPDH
DB00458,Attention Deficit Hyperactivity Disorder,GAPDH
DB00143,Eating Disorders,GCLM
DB00143,Eating Disorders,DBH
DB00143,Eating Disorders,ESD
DB00148,Eating Disorders,GATM
DB00148,Eating Disorders,SLC2A4
DB00201,Major Depressive Disorder,SLC2A4
DB01708,Eating Disorders,SLC2A4
DB00148,Eating Disorders,IGF1
DB00201,Major Depressive Disorder,IGF1
DB00843,Alzheimer’s Disease,IGF1
DB01593,Eating Disorders,IGF1
DB01708,Eating Disorders,IGF1
DB00150,Major Depressive Disorder,WARS2
DB00150,Major Depressive Disorder,TPH1
DB00715,Anxiety Disorder,TPH1
DB01454,Anxiety Disorder,TPH1
DB01592,Eating Disorders,TPH1
DB00150,Major Depressive Disorder,CHRM1
DB00215,Anxiety Disorder,CHRM1
DB00246,Bipolar Disorder,CHRM1
DB00321,Major Depressive Disorder,CHRM1
DB00334,Bipolar Disorder,CHRM1
DB00363,Schizophrenia,CHRM1
DB00408,Schizophrenia,CHRM1
DB00458,Attention Deficit Hyperactivity Disorder,CHRM1
DB00472,Bipolar Disorder,CHRM1
DB00477,Attention Deficit Hyperactivity Disorder,CHRM1
DB00540,Major Depressive Disorder,CHRM1
DB00543,Anxiety Disorder,CHRM1
DB00679,Anxiety Disorder,CHRM1
DB00715,Anxiety Disorder,CHRM1
DB00777,Eating Disorders,CHRM1
DB00805,Major Depressive Disorder,CHRM1
DB00875,Anxiety Disorder,CHRM1
DB00933,Schizophrenia,CHRM1
DB00934,Bipolar Disorder,CHRM1
DB01075,Eating Disorders,CHRM1
DB01104,Anxiety Disorder,CHRM1
DB01142,Anxiety Disorder,CHRM1
DB01151,Attention Deficit Hyperactivity Disorder,CHRM1
DB01175,Anxiety Disorder,CHRM1
DB01224,Anxiety Disorder,CHRM1
DB01238,Autism Spectrum Disorder,CHRM1
DB01239,Bipolar Disorder,CHRM1
DB01403,Bipolar Disorder,CHRM1
DB00150,Major Depressive Disorder,CCBL1
DB00150,Major Depressive Disorder,CHRM4
DB00246,Bipolar Disorder,CHRM4
DB00321,Major Depressive Disorder,CHRM4
DB00334,Bipolar Disorder,CHRM4
DB00363,Schizophrenia,CHRM4
DB00408,Schizophrenia,CHRM4
DB00458,Attention Deficit Hyperactivity Disorder,CHRM4
DB00477,Attention Deficit Hyperactivity Disorder,CHRM4
DB00540,Major Depressive Disorder,CHRM4
DB00679,Anxiety Disorder,CHRM4
DB00715,Anxiety Disorder,CHRM4
DB00777,Eating Disorders,CHRM4
DB00933,Schizophrenia,CHRM4
DB00934,Bipolar Disorder,CHRM4
DB01075,Eating Disorders,CHRM4
DB01142,Anxiety Disorder,CHRM4
DB01151,Attention Deficit Hyperactivity Disorder,CHRM4
DB01224,Anxiety Disorder,CHRM4
DB01238,Autism Spectrum Disorder,CHRM4
DB01239,Bipolar Disorder,CHRM4
DB01403,Bipolar Disorder,CHRM4
DB00150,Major Depressive Disorder,WARS
DB00154,Eating Disorders,PTGS1
DB00755,Eating Disorders,PTGS1
DB01050,Alzheimer’s Disease,PTGS1
DB05289,Alzheimer’s Disease,PTGS1
DB00155,Eating Disorders,ARG2
DB00166,Eating Disorders,GPX3
DB00668,Eating Disorders,GPX3
DB01593,Eating Disorders,GPX3
DB00166,Eating Disorders,NQO1
DB05289,Alzheimer’s Disease,NQO1
DB00166,Eating Disorders,GPX4
DB00668,Eating Disorders,GPX4
DB00166,Eating Disorders,POR
DB00166,Eating Disorders,GPX6
DB00668,Eating Disorders,GPX6
DB00166,Eating Disorders,GPX2
DB00668,Eating Disorders,GPX2
DB00755,Eating Disorders,GPX2
DB00166,Eating Disorders,CASP9
DB00295,Substance Use Disorders,CASP9
DB00313,Bipolar Disorder,CASP9
DB00633,Bipolar Disorder,CASP9
DB00755,Eating Disorders,CASP9
DB00843,Alzheimer’s Disease,CASP9
DB01065,Anxiety Disorder,CASP9
DB01104,Anxiety Disorder,CASP9
DB01156,Attention Deficit Hyperactivity Disorder,CASP9
DB01221,Major Depressive Disorder,CASP9
DB00166,Eating Disorders,ICAM1
DB00313,Bipolar Disorder,ICAM1
DB00755,Eating Disorders,ICAM1
DB00166,Eating Disorders,GPX1
DB00668,Eating Disorders,GPX1
DB00166,Eating Disorders,SIRT1
DB01065,Anxiety Disorder,SIRT1
DB00171,Eating Disorders,RYR2
DB00201,Major Depressive Disorder,RYR2
DB00171,Eating Disorders,RPS7
DB00171,Eating Disorders,PANX1
DB00171,Eating Disorders,RPS16
DB00171,Eating Disorders,EIF3C
DB00171,Eating Disorders,PLD3
DB00171,Eating Disorders,EIF3A
DB00171,Eating Disorders,RPS13
DB00171,Eating Disorders,IL33
DB00171,Eating Disorders,RPS4X
DB00171,Eating Disorders,RPS28
DB00171,Eating Disorders,RPS24
DB00171,Eating Disorders,KCNJ11
DB00222,Substance Use Disorders,KCNJ11
DB00171,Eating Disorders,RPS5
DB00171,Eating Disorders,EIF3D
DB00171,Eating Disorders,MMP2
DB00201,Major Depressive Disorder,MMP2
DB00668,Eating Disorders,MMP2
DB00755,Eating Disorders,MMP2
DB08838,Anxiety Disorder,MMP2
DB00171,Eating Disorders,EIF4E
DB00171,Eating Disorders,EIF3I
DB00171,Eating Disorders,ANO6
DB00171,Eating Disorders,P2RY2
DB00171,Eating Disorders,NT5C2
DB00811,Eating Disorders,NT5C2
DB00171,Eating Disorders,EIF4G1
DB00171,Eating Disorders,TRPV3
DB00171,Eating Disorders,ABCB1
DB00295,Substance Use Disorders,ABCB1
DB00313,Bipolar Disorder,ABCB1
DB00333,Substance Use Disorders,ABCB1
DB00334,Bipolar Disorder,ABCB1
DB00363,Schizophrenia,ABCB1
DB00477,Attention Deficit Hyperactivity Disorder,ABCB1
DB00502,Attention Deficit Hyperactivity Disorder,ABCB1
DB00555,Bipolar Disorder,ABCB1
DB00564,Bipolar Disorder,ABCB1
DB00734,Alzheimer’s Disease,ABCB1
DB00831,Anxiety Disorder,ABCB1
DB01104,Anxiety Disorder,ABCB1
DB01224,Anxiety Disorder,ABCB1
DB01242,Autism Spectrum Disorder,ABCB1
DB01267,Schizophrenia,ABCB1
DB01454,Anxiety Disorder,ABCB1
DB00171,Eating Disorders,RPS20
DB00171,Eating Disorders,TRPV6
DB00171,Eating Disorders,EIF3J
DB00171,Eating Disorders,EIF4A1
DB01356,Bipolar Disorder,EIF4A1
DB00171,Eating Disorders,EIF4A2
DB01356,Bipolar Disorder,EIF4A2
DB00171,Eating Disorders,P2RX1
DB00171,Eating Disorders,P2RY4
DB00171,Eating Disorders,TGM5
DB00171,Eating Disorders,IL2
DB00295,Substance Use Disorders,IL2
DB00490,Anxiety Disorder,IL2
DB00564,Bipolar Disorder,IL2
DB00755,Eating Disorders,IL2
DB00811,Eating Disorders,IL2
DB01037,Alzheimer’s Disease,IL2
DB01065,Anxiety Disorder,IL2
DB01708,Eating Disorders,IL2
DB00171,Eating Disorders,RPS4Y1
DB00171,Eating Disorders,RPS25
DB00171,Eating Disorders,HSPD1
DB00171,Eating Disorders,SNCA
DB00201,Major Depressive Disorder,SNCA
DB00171,Eating Disorders,FGFR1
DB00171,Eating Disorders,RPS11
DB00171,Eating Disorders,EIF1AX
DB00171,Eating Disorders,RYR3
DB00201,Major Depressive Disorder,RYR3
DB00171,Eating Disorders,CASP1
DB00171,Eating Disorders,EGFR
DB00755,Eating Disorders,EGFR
DB01592,Eating Disorders,EGFR
DB01593,Eating Disorders,EGFR
DB00171,Eating Disorders,SRF
DB00171,Eating Disorders,MAPK3
